STN,YYYYMMDD,TG,TN,TX
  249,20001029,  100,   86,  127
  249,20001030,  105,   75,  131
  249,20001031,   93,   64,  115
  249,20001101,   84,   75,   98
  249,20001102,   80,   50,  105
  249,20001103,   77,   53,  106
  249,20001104,   73,   49,  106
  249,20001105,   72,   52,   96
  249,20001106,   81,   70,   97
  249,20001107,   81,   71,   88
  249,20001108,   80,   72,   92
  249,20001109,   80,   72,   91
  249,20001110,   79,   64,   92
  249,20001111,   87,   65,  103
  249,20001112,   86,   74,   99
  249,20001113,   74,   40,   92
  249,20001114,   53,   19,   83
  249,20001115,   54,   30,   73
  249,20001116,   72,   53,   85
  249,20001117,   51,   28,   84
  249,20001118,   64,   30,   86
  249,20001119,   89,   64,  113
  249,20001120,   65,   42,   94
  249,20001121,   59,   41,   67
  249,20001122,   83,   64,  101
  249,20001123,   75,   46,   99
  249,20001124,   72,   40,   95
  249,20001125,   70,   43,   90
  249,20001126,   76,   59,   93
  249,20001127,   70,   55,   94
  249,20001128,  117,   68,  145
  249,20001129,  113,   91,  137
  249,20001130,   97,   73,  134
  249,20001201,  113,   92,  128
  249,20001202,  102,   88,  125
  249,20001203,   84,   49,  107
  249,20001204,   72,   46,   91
  249,20001205,   93,   62,  116
  249,20001206,  104,   84,  116
  249,20001207,   85,   61,   99
  249,20001208,  117,   98,  144
  249,20001209,   91,   75,  108
  249,20001210,   94,   70,  118
  249,20001211,  118,   89,  133
  249,20001212,  130,  122,  140
  249,20001213,  109,   76,  128
  249,20001214,   76,   46,   97
  249,20001215,   59,   36,   75
  249,20001216,   44,   24,   69
  249,20001217,   41,   17,   64
  249,20001218,   24,  -12,   49
  249,20001219,   21,  -17,   43
  249,20001220,   16,    7,   29
  249,20001221,    7,   -7,   17
  249,20001222,  -20,  -51,    4
  249,20001223,  -15,  -56,   15
  249,20001224,    5,    2,   10
  249,20001225,   -5,  -29,    8
  249,20001226,  -19,  -33,  -11
  249,20001227,   -8,  -11,   -4
  249,20001228,    7,  -16,   24
  249,20001229,   16,    0,   30
  249,20001230,   12,  -23,   31
  249,20001231,    3,  -28,   31
  249,20010101,   32,    9,   62
  249,20010102,   76,   39,   98
  249,20010103,   63,   36,   91
  249,20010104,   73,   47,   88
  249,20010105,   72,   56,   97
  249,20010106,   61,   46,   77
  249,20010107,   54,   36,   70
  249,20010108,   47,   26,   72
  249,20010109,   40,   15,   76
  249,20010110,   23,    9,   33
  249,20010111,    2,  -34,   30
  249,20010112,    1,  -34,   42
  249,20010113,  -13,  -34,   17
  249,20010114,   -8,  -45,   26
  249,20010115,  -12,  -24,    2
  249,20010116,  -25,  -53,    2
  249,20010117,  -42,  -78,   -9
  249,20010118,  -36,  -80,   -7
  249,20010119,   -8,  -14,   -2
  249,20010120,    1,   -7,    7
  249,20010121,    0,   -5,    6
  249,20010122,   13,   -1,   45
  249,20010123,   60,   34,  102
  249,20010124,   79,   33,  108
  249,20010125,   54,   27,   80
  249,20010126,   45,   30,   61
  249,20010127,   39,   29,   58
  249,20010128,   46,   24,   68
  249,20010129,   21,  -24,   59
  249,20010130,   18,  -20,   59
  249,20010131,    7,  -11,   24
  249,20010201,   16,  -15,   55
  249,20010202,    5,   -3,   16
  249,20010203,   -9,  -15,   -2
  249,20010204,   -7,  -27,   50
  249,20010205,   69,   41,   95
  249,20010206,  103,   74,  129
  249,20010207,   95,   73,  116
  249,20010208,   72,   32,  105
  249,20010209,   26,  -17,   63
  249,20010210,   28,  -23,   60
  249,20010211,  103,   53,  135
  249,20010212,   94,   50,  134
  249,20010213,   44,    0,   86
  249,20010214,   11,   -8,   31
  249,20010215,   25,  -14,  109
  249,20010216,   30,  -12,   52
  249,20010217,   42,   33,   52
  249,20010218,   37,   -1,   83
  249,20010219,   48,   17,   67
  249,20010220,   55,   16,   81
  249,20010221,   64,   22,   95
  249,20010222,   54,   19,   82
  249,20010223,   20,  -12,   58
  249,20010224,  -12,  -61,   19
  249,20010225,   11,  -17,   39
  249,20010226,   15,  -17,   50
  249,20010227,   21,    5,   47
  249,20010228,   27,    3,   51
  249,20010301,   16,    4,   27
  249,20010302,    3,  -20,   30
  249,20010303,  -11,  -34,   10
  249,20010304,    9,  -14,   25
  249,20010305,   19,   -1,   44
  249,20010306,   30,   -1,   76
  249,20010307,   68,   22,  126
  249,20010308,   76,   33,  102
  249,20010309,   86,   69,  101
  249,20010310,   93,   83,  107
  249,20010311,  103,   84,  130
  249,20010312,   76,   48,   98
  249,20010313,   59,   44,   82
  249,20010314,   55,   10,   78
  249,20010315,   60,    6,  113
  249,20010316,   57,   38,   76
  249,20010317,   27,   19,   39
  249,20010318,   21,   14,   30
  249,20010319,   17,  -13,   49
  249,20010320,   30,  -14,   61
  249,20010321,    7,   -3,   25
  249,20010322,   24,    6,   41
  249,20010323,   50,   33,   69
  249,20010324,   51,   33,   84
  249,20010325,   28,   19,   40
  249,20010326,   25,    8,   42
  249,20010327,   29,    7,   57
  249,20010328,   61,   25,   97
